,dataset,shot,a_type,a_init,combined_way,train_mode,spearman,zeroshot_sr,num_mutations
69,R1AB_SARS2_Flynn_2022,64,context-specific,0.1,logits,a,0.28393553339117933,-0.062247915691638435,1146
70,R1AB_SARS2_Flynn_2022,64,context-specific,-1.0,logits,full,0.2618846672009341,-0.062247915691638435,1146
71,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,scores,full,-0.07724170734100647,-0.061260758362336146,1152
72,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,logits,full,0.1425008014108363,-0.061260758362336146,1152
73,R1AB_SARS2_Flynn_2022,64,context-specific,0.1,scores,full,0.26500523063889625,-0.062247915691638435,1146
74,R1AB_SARS2_Flynn_2022,64,none,0.1,scores,full,-0.05226275213354231,-0.062247915691638435,1146
75,R1AB_SARS2_Flynn_2022,96,single,-1.0,logits,full,0.40086622732016114,-0.062247915691638435,1146
76,R1AB_SARS2_Flynn_2022,64,context-specific,-1.0,scores,a,0.2845057343042104,-0.062247915691638435,1146
77,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,scores,full,0.4008375198000899,-0.061260758362336146,1152
78,R1AB_SARS2_Flynn_2022,64,single,-1.0,logits,a,0.40086871891688247,-0.062247915691638435,1146
79,R1AB_SARS2_Flynn_2022,64,position-specific,-1.0,scores,a,0.4007569558543517,-0.062247915691638435,1146
80,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,scores,full,0.14712842530306863,-0.061260758362336146,1152
81,R1AB_SARS2_Flynn_2022,96,single,0.1,scores,a,-0.1141474926870839,-0.062247915691638435,1146
82,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,scores,a,0.4007569558543517,-0.062247915691638435,1146
83,R1AB_SARS2_Flynn_2022,64,position-specific,0.1,logits,a,-0.11590521650337035,-0.062247915691638435,1146
84,R1AB_SARS2_Flynn_2022,64,position-specific,0.1,scores,a,-0.1145458770767688,-0.062247915691638435,1146
85,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,logits,full,-0.0785248712590658,-0.061260758362336146,1152
86,R1AB_SARS2_Flynn_2022,64,position-specific,-1.0,scores,full,0.40085421981724184,-0.062247915691638435,1146
87,R1AB_SARS2_Flynn_2022,96,single,-1.0,scores,a,0.4009850146921685,-0.062247915691638435,1146
88,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,logits,a,0.28393553339117933,-0.062247915691638435,1146
89,R1AB_SARS2_Flynn_2022,64,single,-1.0,logits,full,0.40086622732016114,-0.062247915691638435,1146
90,R1AB_SARS2_Flynn_2022,96,single,0.1,logits,a,-0.114167122482693,-0.062247915691638435,1146
91,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,scores,a,-0.1145458770767688,-0.062247915691638435,1146
92,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,logits,a,-0.11590521650337035,-0.062247915691638435,1146
93,R1AB_SARS2_Flynn_2022,96,single,-1.0,logits,a,0.40086871891688247,-0.062247915691638435,1146
94,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,scores,full,0.26500310979176706,-0.062247915691638435,1146
95,R1AB_SARS2_Flynn_2022,64,single,0.1,logits,a,-0.114167122482693,-0.062247915691638435,1146
96,R1AB_SARS2_Flynn_2022,64,context-specific,-1.0,logits,a,0.28393553339117933,-0.062247915691638435,1146
97,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,logits,a,0.40033473984034695,-0.062247915691638435,1146
98,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,scores,a,0.2845057343042104,-0.062247915691638435,1146
99,R1AB_SARS2_Flynn_2022,64,context-specific,-1.0,scores,full,0.2315287482593326,-0.062198588050179006,1145
100,NRAM_I33A0_Jiang_2016,64,position-specific,-1.0,logits,full,0.3301472631286469,0.42739649902750776,60
101,NRAM_I33A0_Jiang_2016,96,position-specific,-1.0,logits,full,0.33817199377232343,0.4027841377415514,64
102,NRAM_I33A0_Jiang_2016,64,single,-1.0,scores,a,0.32820227841066973,0.42739649902750776,60
103,NRAM_I33A0_Jiang_2016,64,single,0.1,logits,full,0.24017782717421512,0.42739649902750776,60
104,NRAM_I33A0_Jiang_2016,96,context-specific,-1.0,scores,a,0.3210891914420673,0.42739649902750776,60
105,NRAM_I33A0_Jiang_2016,64,context-specific,0.1,logits,full,0.3204223395387608,0.42739649902750776,60
106,NRAM_I33A0_Jiang_2016,64,position-specific,-1.0,logits,a,0.3301472631286469,0.42739649902750776,60
107,NRAM_I33A0_Jiang_2016,96,context-specific,0.1,logits,full,0.29979851634765087,0.4027841377415514,64
108,NRAM_I33A0_Jiang_2016,96,single,0.1,logits,full,0.24017782717421512,0.42739649902750776,60
109,NRAM_I33A0_Jiang_2016,64,position-specific,0.1,scores,full,0.23839955543206448,0.42739649902750776,60
110,NRAM_I33A0_Jiang_2016,64,context-specific,0.1,scores,a,0.3210891914420673,0.42739649902750776,60
111,NRAM_I33A0_Jiang_2016,64,position-specific,0.1,logits,full,0.23839955543206448,0.42739649902750776,60
112,NRAM_I33A0_Jiang_2016,96,none,0.1,scores,full,0.25334815226451796,0.42739649902750776,60
113,NRAM_I33A0_Jiang_2016,64,single,0.1,scores,a,0.24017782717421512,0.42739649902750776,60
114,NRAM_I33A0_Jiang_2016,64,single,-1.0,scores,full,0.32820227841066973,0.42739649902750776,60
115,NRAM_I33A0_Jiang_2016,96,single,0.1,scores,full,0.2695759684952834,0.4027841377415514,64
116,NRAM_I33A0_Jiang_2016,96,context-specific,-1.0,logits,a,0.3191442067240901,0.42739649902750776,60
117,NRAM_I33A0_Jiang_2016,64,single,0.1,scores,full,0.24017782717421512,0.42739649902750776,60
118,NRAM_I33A0_Jiang_2016,96,single,-1.0,scores,full,0.33817199377232343,0.4027841377415514,64
119,NRAM_I33A0_Jiang_2016,64,context-specific,0.1,logits,a,0.3191442067240901,0.42739649902750776,60
120,NRAM_I33A0_Jiang_2016,64,context-specific,-1.0,logits,full,0.3204223395387608,0.42739649902750776,60
121,NRAM_I33A0_Jiang_2016,96,position-specific,0.1,scores,full,0.26975913545196445,0.4027841377415514,64
122,NRAM_I33A0_Jiang_2016,96,context-specific,-1.0,logits,full,0.29979851634765087,0.4027841377415514,64
123,NRAM_I33A0_Jiang_2016,64,context-specific,0.1,scores,full,0.32320088913587114,0.42739649902750776,60
124,NRAM_I33A0_Jiang_2016,64,none,0.1,scores,full,0.25334815226451796,0.42739649902750776,60
125,NRAM_I33A0_Jiang_2016,96,single,-1.0,logits,full,0.32820227841066973,0.42739649902750776,60
126,NRAM_I33A0_Jiang_2016,64,context-specific,-1.0,scores,a,0.3210891914420673,0.42739649902750776,60
127,NRAM_I33A0_Jiang_2016,96,position-specific,-1.0,scores,full,0.33817199377232343,0.4027841377415514,64
128,NRAM_I33A0_Jiang_2016,64,single,-1.0,logits,a,0.32820227841066973,0.42739649902750776,60
129,NRAM_I33A0_Jiang_2016,64,position-specific,-1.0,scores,a,0.32820227841066973,0.42739649902750776,60
130,NRAM_I33A0_Jiang_2016,96,context-specific,0.1,scores,full,0.29979851634765087,0.4027841377415514,64
131,NRAM_I33A0_Jiang_2016,96,single,0.1,scores,a,0.24017782717421512,0.42739649902750776,60
132,NRAM_I33A0_Jiang_2016,96,position-specific,-1.0,scores,a,0.32820227841066973,0.42739649902750776,60
133,NRAM_I33A0_Jiang_2016,64,position-specific,0.1,logits,a,0.23839955543206448,0.42739649902750776,60
134,NRAM_I33A0_Jiang_2016,64,position-specific,0.1,scores,a,0.23839955543206448,0.42739649902750776,60
135,NRAM_I33A0_Jiang_2016,96,position-specific,0.1,logits,full,0.27003388588698596,0.4027841377415514,64
136,NRAM_I33A0_Jiang_2016,64,position-specific,-1.0,scores,full,0.32820227841066973,0.42739649902750776,60
137,NRAM_I33A0_Jiang_2016,96,single,-1.0,scores,a,0.32820227841066973,0.42739649902750776,60
138,NRAM_I33A0_Jiang_2016,96,context-specific,0.1,logits,a,0.3191442067240901,0.42739649902750776,60
139,NRAM_I33A0_Jiang_2016,64,single,-1.0,logits,full,0.32820227841066973,0.42739649902750776,60
140,NRAM_I33A0_Jiang_2016,96,single,0.1,logits,a,0.24017782717421512,0.42739649902750776,60
141,NRAM_I33A0_Jiang_2016,96,position-specific,0.1,scores,a,0.23839955543206448,0.42739649902750776,60
142,NRAM_I33A0_Jiang_2016,96,position-specific,0.1,logits,a,0.23839955543206448,0.42739649902750776,60
143,NRAM_I33A0_Jiang_2016,96,single,-1.0,logits,a,0.32820227841066973,0.42739649902750776,60
144,NRAM_I33A0_Jiang_2016,96,context-specific,-1.0,scores,full,0.32320088913587114,0.42739649902750776,60
145,NRAM_I33A0_Jiang_2016,64,single,0.1,logits,a,0.24017782717421512,0.42739649902750776,60
146,NRAM_I33A0_Jiang_2016,64,context-specific,-1.0,logits,a,0.3191442067240901,0.42739649902750776,60
147,NRAM_I33A0_Jiang_2016,96,position-specific,-1.0,logits,a,0.3301472631286469,0.42739649902750776,60
148,NRAM_I33A0_Jiang_2016,96,context-specific,0.1,scores,a,0.3210891914420673,0.42739649902750776,60
149,NRAM_I33A0_Jiang_2016,64,context-specific,-1.0,scores,full,0.47629897193664916,0.42739649902750776,60
150,BLAT_ECOLX_Jacquier_2013,64,position-specific,-1.0,logits,full,0.7727459517735394,0.7355721635689093,198
151,BLAT_ECOLX_Jacquier_2013,96,position-specific,-1.0,logits,full,0.7715318125746649,0.7380293461073811,200
152,BLAT_ECOLX_Jacquier_2013,64,single,-1.0,scores,a,0.7731691466677187,0.7355721635689093,198
153,BLAT_ECOLX_Jacquier_2013,64,single,0.1,logits,full,0.6988944802402274,0.7355721635689093,198
154,BLAT_ECOLX_Jacquier_2013,96,context-specific,-1.0,scores,a,0.7264972483381076,0.7355721635689093,198
155,BLAT_ECOLX_Jacquier_2013,64,context-specific,0.1,logits,full,0.7232487916503899,0.7355721635689093,198
156,BLAT_ECOLX_Jacquier_2013,64,position-specific,-1.0,logits,a,0.7733220991294728,0.7355721635689093,198
157,BLAT_ECOLX_Jacquier_2013,96,context-specific,0.1,logits,full,0.72620539817044,0.7380293461073811,200
158,BLAT_ECOLX_Jacquier_2013,96,single,0.1,logits,full,0.6988944802402274,0.7355721635689093,198
159,BLAT_ECOLX_Jacquier_2013,64,position-specific,0.1,scores,full,0.6989341052303192,0.7355721635689093,198
160,BLAT_ECOLX_Jacquier_2013,64,context-specific,0.1,scores,a,0.7264972483381076,0.7355721635689093,198
161,BLAT_ECOLX_Jacquier_2013,64,position-specific,0.1,logits,full,0.698800965263611,0.7355721635689093,198
162,BLAT_ECOLX_Jacquier_2013,96,none,0.1,scores,full,0.7093332876299857,0.7355721635689093,198
163,BLAT_ECOLX_Jacquier_2013,64,single,0.1,scores,a,0.6991536276754271,0.7355721635689093,198
164,BLAT_ECOLX_Jacquier_2013,64,single,-1.0,scores,full,0.7733220991294728,0.7355721635689093,198
165,BLAT_ECOLX_Jacquier_2013,96,single,0.1,scores,full,0.7337440486259462,0.7380293461073811,200
166,BLAT_ECOLX_Jacquier_2013,96,context-specific,-1.0,logits,a,0.726132698429264,0.7355721635689093,198
167,BLAT_ECOLX_Jacquier_2013,64,single,0.1,scores,full,0.6988944802402274,0.7355721635689093,198
168,BLAT_ECOLX_Jacquier_2013,96,single,-1.0,scores,full,0.7707964656695666,0.7380293461073811,200
169,BLAT_ECOLX_Jacquier_2013,64,context-specific,0.1,logits,a,0.726132698429264,0.7355721635689093,198
170,BLAT_ECOLX_Jacquier_2013,64,context-specific,-1.0,logits,full,0.7232487916503899,0.7355721635689093,198
171,BLAT_ECOLX_Jacquier_2013,96,position-specific,0.1,scores,full,0.733451292961534,0.7380293461073811,200
172,BLAT_ECOLX_Jacquier_2013,96,context-specific,-1.0,logits,full,0.72620539817044,0.7380293461073811,200
173,BLAT_ECOLX_Jacquier_2013,64,context-specific,0.1,scores,full,0.7237813515172223,0.7355721635689093,198
174,BLAT_ECOLX_Jacquier_2013,64,none,0.1,scores,full,0.7093332876299857,0.7355721635689093,198
175,BLAT_ECOLX_Jacquier_2013,96,single,-1.0,logits,full,0.7734322566019276,0.7355721635689093,198
176,BLAT_ECOLX_Jacquier_2013,64,context-specific,-1.0,scores,a,0.7264972483381076,0.7355721635689093,198
177,BLAT_ECOLX_Jacquier_2013,96,position-specific,-1.0,scores,full,0.7711967955938677,0.7380293461073811,200
178,BLAT_ECOLX_Jacquier_2013,64,single,-1.0,logits,a,0.7732254141536491,0.7355721635689093,198
179,BLAT_ECOLX_Jacquier_2013,64,position-specific,-1.0,scores,a,0.7730589891952638,0.7355721635689093,198
180,BLAT_ECOLX_Jacquier_2013,96,context-specific,0.1,scores,full,0.7265273525625365,0.7380293461073811,200
181,BLAT_ECOLX_Jacquier_2013,96,single,0.1,scores,a,0.6991536276754271,0.7355721635689093,198
182,BLAT_ECOLX_Jacquier_2013,96,position-specific,-1.0,scores,a,0.7730589891952638,0.7355721635689093,198
183,BLAT_ECOLX_Jacquier_2013,64,position-specific,0.1,logits,a,0.698800965263611,0.7355721635689093,198
184,BLAT_ECOLX_Jacquier_2013,64,position-specific,0.1,scores,a,0.6989341052303192,0.7355721635689093,198
185,BLAT_ECOLX_Jacquier_2013,96,position-specific,0.1,logits,full,0.7321934425084036,0.7380293461073811,200
186,BLAT_ECOLX_Jacquier_2013,64,position-specific,-1.0,scores,full,0.7731849966637554,0.7355721635689093,198
187,BLAT_ECOLX_Jacquier_2013,96,single,-1.0,scores,a,0.7731691466677187,0.7355721635689093,198
188,BLAT_ECOLX_Jacquier_2013,96,context-specific,0.1,logits,a,0.726132698429264,0.7355721635689093,198
189,BLAT_ECOLX_Jacquier_2013,64,single,-1.0,logits,full,0.7734322566019276,0.7355721635689093,198
190,BLAT_ECOLX_Jacquier_2013,96,single,0.1,logits,a,0.6991536276754271,0.7355721635689093,198
191,BLAT_ECOLX_Jacquier_2013,96,position-specific,0.1,scores,a,0.6989341052303192,0.7355721635689093,198
192,BLAT_ECOLX_Jacquier_2013,96,position-specific,0.1,logits,a,0.698800965263611,0.7355721635689093,198
193,BLAT_ECOLX_Jacquier_2013,96,single,-1.0,logits,a,0.7732254141536491,0.7355721635689093,198
194,BLAT_ECOLX_Jacquier_2013,96,context-specific,-1.0,scores,full,0.7237813515172223,0.7355721635689093,198
